symbol,date,price,,
A,Jan 2000,39.81,,
A,Feb 2000,36.35,,
A,Mar 2000,43.22,,
A,Apr 2000,28.37,,
A,May 2000,25.45,,
A,Jun 2000,32.54,,
A,Jul 2000,28.4,,
A,Aug 2000,28.4,,
A,Sep 2000,24.53,,
A,Oct 2000,28.02,,
A,Nov 2000,23.34,,
A,Dec 2000,17.65,,
A,Jan 2001,24.84,,
A,Feb 2001,24,,
A,Mar 2001,22.25,,
A,Apr 2001,27.56,,
A,May 2001,28.14,,
A,Jun 2001,29.7,,
A,Jul 2001,26.93,,
A,Aug 2001,23.21,,
A,Sep 2001,20.82,,
A,Oct 2001,23.65,,
A,Nov 2001,26.12,,
A,Dec 2001,26.95,,
A,Jan 2002,25.92,,
A,Feb 2002,23.73,,
A,Mar 2002,24.53,,
A,Apr 2002,21.26,,
A,May 2002,20.71,,
A,Jun 2002,22.25,,
A,Jul 2002,19.52,,
A,Aug 2002,19.97,,
A,Sep 2002,17.79,,
A,Oct 2002,21.75,,
A,Nov 2002,23.46,,
A,Dec 2002,21.03,,
A,Jan 2003,19.31,,
A,Feb 2003,19.34,,
A,Mar 2003,19.76,,
A,Apr 2003,20.87,,
A,May 2003,20.09,,
A,Jun 2003,20.93,,
A,Jul 2003,21.56,,
A,Aug 2003,21.65,,
A,Sep 2003,22.69,,
A,Oct 2003,21.45,,
A,Nov 2003,21.1,,
A,Dec 2003,22.46,,
A,Jan 2004,22.69,,
A,Feb 2004,21.77,,
A,Mar 2004,20.46,,
A,Apr 2004,21.45,,
A,May 2004,21.53,,
A,Jun 2004,23.44,,
A,Jul 2004,23.38,,
A,Aug 2004,22.47,,
A,Sep 2004,22.76,,
A,Oct 2004,23.02,,
A,Nov 2004,24.6,,
A,Dec 2004,24.52,,
A,Jan 2005,24.11,,
A,Feb 2005,23.15,,
A,Mar 2005,22.24,,
A,Apr 2005,23.28,,
A,May 2005,23.82,,
A,Jun 2005,22.93,,
A,Jul 2005,23.64,,
A,Aug 2005,25.35,,
A,Sep 2005,23.83,,
A,Oct 2005,23.8,,
A,Nov 2005,25.71,,
A,Dec 2005,24.29,,
A,Jan 2006,26.14,,
A,Feb 2006,25.04,,
A,Mar 2006,25.36,,
A,Apr 2006,22.5,,
A,May 2006,21.19,,
A,Jun 2006,21.8,,
A,Jul 2006,22.51,,
A,Aug 2006,24.13,,
A,Sep 2006,25.68,,
A,Oct 2006,26.96,,
A,Nov 2006,27.66,,
A,Dec 2006,28.13,,
A,Jan 2007,29.07,,
A,Feb 2007,26.63,,
A,Mar 2007,26.35,,
A,Apr 2007,28.3,,
A,May 2007,29.11,,
A,Jun 2007,27.95,,
A,Jul 2007,27.5,,
A,Aug 2007,27.34,,
A,Sep 2007,28.04,,
A,Oct 2007,35.03,,
A,Nov 2007,32.09,,
A,Dec 2007,34,,
A,Jan 2008,31.13,,
A,Feb 2008,26.07,,
A,Mar 2008,27.21,,
A,Apr 2008,27.34,,
A,May 2008,27.25,,
A,Jun 2008,26.47,,
A,Jul 2008,24.75,,
A,Aug 2008,26.36,,
A,Sep 2008,25.78,,
A,Oct 2008,21.57,,
A,Nov 2008,19.66,,
A,Dec 2008,18.91,,
A,Jan 2009,16.63,,
A,Feb 2009,15.81,,
A,Mar 2009,17.99,,
A,Apr 2009,19.84,,
A,May 2009,20.59,,
A,Jun 2009,23.42,,
A,Jul 2009,23.18,,
A,Aug 2009,24.43,,
A,Sep 2009,25.49,,
A,Oct 2009,27.48,,
A,Nov 2009,29.27,,
A,Dec 2009,30.34,,
A,Jan 2010,28.05,,
A,Feb 2010,28.67,,
A,Mar 2010,28.8,,
C,Jan 2000,64.56,,
C,Feb 2000,68.87,,
C,Mar 2000,67,,
C,Apr 2000,55.19,,
C,May 2000,48.31,,
C,Jun 2000,36.31,,
C,Jul 2000,30.12,,
C,Aug 2000,41.5,,
C,Sep 2000,38.44,,
C,Oct 2000,36.62,,
C,Nov 2000,24.69,,
C,Dec 2000,15.56,,
C,Jan 2001,17.31,,
C,Feb 2001,10.19,,
C,Mar 2001,10.23,,
C,Apr 2001,15.78,,
C,May 2001,16.69,,
C,Jun 2001,14.15,,
C,Jul 2001,12.49,,
C,Aug 2001,8.94,,
C,Sep 2001,5.97,,
C,Oct 2001,6.98,,
C,Nov 2001,11.32,,
C,Dec 2001,10.82,,
C,Jan 2002,14.19,,
C,Feb 2002,14.1,,
C,Mar 2002,14.3,,
C,Apr 2002,16.69,,
C,May 2002,18.23,,
C,Jun 2002,16.25,,
C,Jul 2002,14.45,,
C,Aug 2002,14.94,,
C,Sep 2002,15.93,,
C,Oct 2002,19.36,,
C,Nov 2002,23.35,,
C,Dec 2002,18.89,,
C,Jan 2003,21.85,,
C,Feb 2003,22.01,,
C,Mar 2003,26.03,,
C,Apr 2003,28.69,,
C,May 2003,35.89,,
C,Jun 2003,36.32,,
C,Jul 2003,41.64,,
C,Aug 2003,46.32,,
C,Sep 2003,48.43,,
C,Oct 2003,54.43,,
C,Nov 2003,53.97,,
C,Dec 2003,52.62,,
C,Jan 2004,50.4,,
C,Feb 2004,43.01,,
C,Mar 2004,43.28,,
C,Apr 2004,43.6,,
C,May 2004,48.5,,
C,Jun 2004,54.4,,
C,Jul 2004,38.92,,
C,Aug 2004,38.14,,
C,Sep 2004,40.86,,
C,Oct 2004,34.13,,
C,Nov 2004,39.68,,
C,Dec 2004,44.29,,
C,Jan 2005,43.22,,
C,Feb 2005,35.18,,
C,Mar 2005,34.27,,
C,Apr 2005,32.36,,
C,May 2005,35.51,,
C,Jun 2005,33.09,,
C,Jul 2005,45.15,,
C,Aug 2005,42.7,,
C,Sep 2005,45.3,,
C,Oct 2005,39.86,,
C,Nov 2005,48.46,,
C,Dec 2005,47.15,,
C,Jan 2006,44.82,,
C,Feb 2006,37.44,,
C,Mar 2006,36.53,,
C,Apr 2006,35.21,,
C,May 2006,34.61,,
C,Jun 2006,38.68,,
C,Jul 2006,26.89,,
C,Aug 2006,30.83,,
C,Sep 2006,32.12,,
C,Oct 2006,38.09,,
C,Nov 2006,40.34,,
C,Dec 2006,39.46,,
C,Jan 2007,37.67,,
C,Feb 2007,39.14,,
C,Mar 2007,39.79,,
C,Apr 2007,61.33,,
C,May 2007,69.14,,
C,Jun 2007,68.41,,
